136,云景花园西门总站,天河公交场总站,18,广州市内
205,康王路总站(上下九),白沙总站,26,广佛跨区域
208,中山八路总站,墩和（大塘西）总站,22,广州市内
231,流花车站总站,里水客运站总站,31,广佛跨区域
233,广州火车东站总站,�口客运站总站,21,广州市内
257,广州火车站,天河客运站,14,广州市内
260,站南路总站,穗盐路总站,27,广佛跨区域
275,广州火车站,平洲总站,34,广佛跨区域
280,广州火车东站总站,凰岗总站(锦东服装城),30,广州市内
281,保利紫山国际花园总站,广卫路总站,30,广佛跨区域
285,花地大道南总站(鹅公村),云台花园总站,31,广州市内
286,广卫路总站,黄岐第一城总站,17,广佛跨区域
311,南浦岛总站(锦绣半岛),天河公交场总站,12,广州市内
551,晓港湾总站,广州火车东站总站,23,广州市内
565,小洲便桥西总站,穗盐路总站,37,广佛跨区域
582,海珠客运站总站,凌塘村总站,24,广州市内
737,人和地铁站总站,矮岗村总站,13,广州市内
738,人和(东华村)总站,人和地铁站总站,10,广州市内
804,机场路总站,钟落潭文化广场总站,34,广州市内
808,钟落潭文化广场总站,广州火车东站总站,50,广州市内
D2,大学城广中医总,华工大总站,22,广州市内
